Parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,valid,Q5,Q50,Q95,MCSE_Q2.5,MCSE_Q25,MCSE_Q50,MCSE_Q75,MCSE_Q97.5,MCSE_SD,Bulk_ESS,Tail_ESS
r,0.0909123921450026,1.1049715156008859e-4,0.00786984872815339,0.07611048331010598,0.08552072055203733,0.09072110093747052,0.09619068297118287,0.10669096093638603,5043,1.0009541365217864,1,0.07822138059608827,0.09072110093747052,0.10415119185546645,1.6191832352317748e-4,1.3923905193639896e-4,1.2374618927709496e-4,1.330840035591238e-4,1.8722166415311575e-4,7.818926890077641e-5,5086,7994
Q,7.921065947382089e-8,4.240967502448611e-10,4.197809971076001e-8,1.7302982637675172e-8,4.6651401932028314e-8,7.344024697968624e-8,1.0502268883901679e-7,1.7484855589360463e-7,9791,1.000155968192394,1,2.210833319446542e-8,7.344024697968624e-8,1.5769353109894324e-7,4.5123136267782535e-10,4.949681923415436e-10,5.214339761409095e-10,5.254700667669261e-10,1.2334050311385279e-09,2.9989061520217637e-10,7416,4830
a1,0.2423980512802525,8.790213044329884e-4,0.06741372245097907,0.1349201847446516,0.19320867752894832,0.23421887166031258,0.2821982486464789,0.3946860460342251,5833,1.000432429179477,1,0.14681149547529052,0.23421887166031258,0.3667984258136511,0.001060988177933861,7.699024416964184e-4,0.0011098844521165024,0.0012539213779483582,0.0024618937083989434,6.215927514984426e-4,5985,8465
e1,2.4892714582821417e-5,5.893503523163281e-8,5.056811329858819e-6,1.5672752090182563e-5,2.132339411444696e-5,2.466434683408821e-5,2.8177796385410544e-5,3.5510169357141514e-5,7299,1.000279072890468,1,1.7077304142634024e-5,2.466434683408821e-5,3.356815519073311e-5,1.2443327239526075e-7,7.025666518138175e-8,7.33578114442607e-8,6.912652760143414e-8,9.00819953860609e-8,4.167501422264337e-8,7041,6893
d1,1.1295408568377168,0.002405680553997047,0.20589748472234976,0.7438917788895593,0.9879308872038655,1.1247957048872081,1.2654282800643413,1.5425809955334047,7319,1.00016993516551,1,0.8014593249785364,1.1247957048872081,1.4739353990939814,0.004846771739954181,0.0034466411871887925,0.0030341249769650913,0.0028518130521701934,0.0044215815704263806,0.0017011407650086164,7154,7398
h1,4.37635423846328e-6,2.1901221134981493e-8,2.2143013726547506e-6,4.6670779447889244e-7,2.729477799815212e-6,4.302373375888855e-6,5.861805131145046e-6,8.931744555098717e-6,10219,1.0005215060679267,1,8.599211514397147e-7,4.302373375888855e-6,8.156277761909025e-6,3.3447023613065956e-8,3.78588038997591e-8,2.4514447502528485e-8,2.6708285877538817e-8,7.894598057690369e-8,1.5486943924953566e-8,9002,5297
w1,1.956672935237912,0.0030332027380371375,0.28777511704479447,1.4271297656864814,1.7572750546734717,1.9413156238306355,2.1440531489531636,2.5617159645047587,8988,0.9999926761115234,1,1.5066901324142006,1.9413156238306355,2.455145389639683,0.008165029278017655,0.0038027424440085777,0.0032907291180170883,0.0038299872740441554,0.008788588768437133,0.002144867729246223,8900,9359
B,0.08081259468927404,2.6894468348206827e-4,0.021262735495603688,0.041298768163765494,0.06667277215369508,0.07995915957897184,0.09443000476297111,0.12525432628151695,6247,1.0000766815535551,1,0.04762744968010666,0.07995915957897184,0.11770956905180169,9.829766694413565e-4,2.3856562664853476e-4,2.7841968120886906e-4,3.267946668120414e-4,8.996014520946533e-4,1.901814840304911e-4,6489,6311
N1_0[1],177905.6330464013,324.69073691384517,28837.485984380706,125071.62608992883,158236.73755606156,176633.09695610555,196417.7457126181,238187.16507459347,7867,1.0006433119741347,1,132607.49140958823,176633.09695610555,227459.2544058003,711.4311288799436,320.579035146744,387.01769129662716,370.0198655023414,1027.0377774564404,229.59951116156066,7687,8394
N1_0[2],196424.21257598876,331.2699956254169,30294.88453573629,141111.48421336064,175078.48641857738,195379.00747007923,216175.92218981177,259029.9720106503,8348,1.0001913443556358,1,148958.17651349097,195379.00747007923,248108.40883821336,591.0762495094677,444.75031229174056,396.95968403856386,482.5390900013008,832.3714182394178,234.2514299746554,8232,9228
N1_0[3],200427.03748920897,312.8257923430371,28434.164704766656,146802.11948595144,181102.62523322616,199497.54173585202,218584.00367579894,258890.20698761364,8265,1.0003483528619699,1,155380.71628960024,199497.54173585202,248859.49395838944,703.8251959057379,360.03410659624205,324.100154707834,389.75642691271787,793.7113280333724,221.2090485219261,8185,8910
N1_0[4],248569.63248813903,332.3670022825588,31852.333563464294,187956.88119003398,227031.78709374112,247661.74235624896,269246.8414901057,314760.07898828015,9183,1.000724786471239,1,197601.88731380156,247661.74235624896,303052.54029658035,771.1497226750798,421.4911052476382,344.9279952717916,461.54201755826944,982.6582159045211,235.02642527019725,9146,10574
N1_0[5],254858.92025024982,53.58346124469963,6649.188687870133,241915.26542154897,250344.24144836987,254840.49458479523,259265.9385259127,267906.8785654844,15402,1.000052949604123,1,243942.27664454147,254840.49458479523,265953.81826706044,129.22876341578376,86.70680063551117,61.568106477716356,93.75248972949339,178.8674272694916,37.88994683744454,15392,11287
N2_0[1],0.22024499269425066,0.0011484104125450891,0.13490292876620494,0.029289716740031193,0.11753142478830413,0.19817709410270723,0.3018515182458734,0.535004475475477,13784,0.9999298033403033,1,0.04208986482825513,0.19817709410270723,0.4728399824985218,0.0010933977860783373,0.0015038261530498642,0.0014649796519216052,0.0016462092621932212,0.003949702254793408,8.120659581309675e-4,10289,6676
N2_0[2],0.16801618896311413,0.0010947016491409751,0.1262055415931586,0.010503589166513928,0.06855787335033815,0.14113521112238556,0.23916943813926983,0.4755494950641665,13235,1.0002557245728465,1,0.017571124975265407,0.14113521112238556,0.40924356471514595,7.484122345268844e-4,0.0012173832784199909,0.0018111828204497027,0.001890177130629056,0.004044754122466937,7.740879446824731e-4,8528,6502
N2_0[3],0.2166376409992138,0.001112133152661101,0.13258543210309703,0.03133619981229691,0.1146966717038356,0.19480903308820124,0.2952755360807029,0.523432799063216,14146,1.0001397053513035,1,0.0438077372893286,0.19480903308820124,0.46650371959522025,0.0011365071029536648,0.001379620636356639,0.0016075603600937682,0.0016523742405746,0.004002651714874406,7.864130354351906e-4,10867,7265
N2_0[4],0.11152539059493884,9.197814438032881e-4,0.1066671244645755,0.0046403576946411895,0.032418588634163685,0.07684234171194054,0.15964328303089487,0.39627057387238224,13417,1.0003173129966063,1,0.007866300441415865,0.07684234171194054,0.326427651183645,2.45547304868538e-4,7.062496974531811e-4,0.0011108503665041777,0.0019159755788966532,0.004104925812714405,6.50397795769847e-4,9926,8261
N2_0[5],0.11775338030114907,5.114783756681491e-4,0.05819799181281524,0.02408570292969197,0.07343027731294248,0.11193172344897034,0.15478110023958194,0.24370944450581147,12910,1.0002643689500283,1,0.03286459285762997,0.11193172344897034,0.22143180193505677,8.861565266039487e-4,7.897606129755319e-4,6.584950212719376e-4,7.499969555146563e-4,0.0013775237955740705,3.616779749415003e-4,10270,6238
